#mm10.knownToEnsembl.name	mm10.knownToEnsembl.value	mm10.kgXref.geneSymbol	mm10.kgXref.refseq
uc029vdd.1	ENSMUST00000179871	Ccl27b	NM_001267703
uc029vde.1	ENSMUST00000179871	Ccl27b	NM_001267702
uc029vdf.1	ENSMUST00000179075	Ccl19	
uc029vdg.1	ENSMUST00000178081	Gm13304	NM_023052
uc029veq.1	ENSMUST00000177766	DQ565859	
uc029ver.1	ENSMUST00000177766	DQ568410	
uc009shz.1	ENSMUST00000177695	Ccl21c	NM_023052
uc009sjb.1	ENSMUST00000178765	Ccl21c	NM_023052
uc008idh.1	ENSMUST00000111360	C130026I21Rik	NM_001037909
uc008idi.1	ENSMUST00000111360	C130026I21Rik	NM_001037909
uc029ttw.2	ENSMUST00000178603	LOC100041034	NR_131981
uc008idg.2	ENSMUST00000178603	LOC100041034	
uc009uyo.1	ENSMUST00000115964	Tmlhe	NM_138758
uc009uym.2	ENSMUST00000051100	Vamp7	NM_011515
uc057atv.1	ENSMUST00000051100	Vamp7	NM_001302138
uc009uyn.2	ENSMUST00000076951	Spry3	NM_001030293
uc057lox.1	ENSMUST00000177582	Gm16513	NM_001200055
uc009sjo.1	ENSMUST00000179677	C87414 	
uc009sjp.1	ENSMUST00000179677	C87414 	
uc057loy.1	ENSMUST00000178337	Gm16367	NM_001031622
uc029vtd.2	ENSMUST00000179700	Gm6367	
uc029vte.2	ENSMUST00000179700	Gm6367	
uc029vtc.2	ENSMUST00000179700	Gm6367	
uc012ehp.3	ENSMUST00000178318	Gm16367	NM_001031622
uc009sjq.3	ENSMUST00000180303	Gm16513	NM_001200055
uc033hie.1	ENSMUST00000185105	Mir6984	NR_105950
uc008fwd.2	ENSMUST00000025743	Mrpl21	NM_001347420
uc008fwe.1	ENSMUST00000025745	Mrpl21	NM_172252
uc008fwf.2	ENSMUST00000025835	Cpt1a	NM_013495
uc008fwg.2	ENSMUST00000151341	Tesmin	NM_001039658
uc008fwh.2	ENSMUST00000025840	Tesmin	NM_001039657
uc008fwi.2	ENSMUST00000142193	Tesmin	NM_001286557
uc012bfv.2	ENSMUST00000142193	Tesmin	NM_001286558
uc008fwt.1	ENSMUST00000039048	1810055G02Rik	NM_028077
uc008fwu.1	ENSMUST00000039048	1810055G02Rik	NM_028077
uc008fwv.1	ENSMUST00000039048	1810055G02Rik	NM_028077
uc008fww.2	ENSMUST00000113968	Kmt5b	NM_001167884
uc008fwy.2	ENSMUST00000113968	Kmt5b	NM_001167888
uc008fwz.2	ENSMUST00000052699	Kmt5b	NM_001167889
uc008fxa.2	ENSMUST00000113973	Kmt5b	NM_001167885
uc012bfy.1	ENSMUST00000113973	Kmt5b	NM_144871
uc008fxb.2	ENSMUST00000113973	Kmt5b	NM_001167887
uc008fxc.2	ENSMUST00000113977	Kmt5b	NM_001167886
uc008fxd.2	ENSMUST00000154467	Chka	NM_013490
uc008fxe.1	ENSMUST00000125411	Chka	NM_013490
uc008fxf.1	ENSMUST00000124219	Chka	NM_001271496
uc008fxi.1	ENSMUST00000127544	Chka	
uc008fxh.2	ENSMUST00000128694	Chka	NM_001271496
uc033hig.1	ENSMUST00000128694	Chka	NM_001271496
uc008fxg.2	ENSMUST00000128694	Chka	NM_013490
uc008fxr.3	ENSMUST00000162193	Unc93b1	NM_001161428
uc008fxs.2	ENSMUST00000162708	Unc93b1	NM_019449
uc012bfz.1	ENSMUST00000162708	Unc93b1	NM_001161428
uc008fxt.1	ENSMUST00000161415	Unc93b1	NM_019449
uc029tql.1	ENSMUST00000179433	Aldh3b3	NM_028545
uc029tqm.1	ENSMUST00000179433	Aldh3b3	
uc008fxw.2	ENSMUST00000143380	Aldh3b2	NM_001177438
uc008fxx.3	ENSMUST00000054030	Acy3	NM_001302479
uc056zhb.2	ENSMUST00000054030	Acy3	NM_001302480
uc008fxy.3	ENSMUST00000054030	Acy3	NM_001302481
uc056zhc.2	ENSMUST00000054030	Acy3	NM_001302482
uc008fxz.2	ENSMUST00000054030	Acy3	NM_001302481
uc012bgb.1	ENSMUST00000041871	Tbx10	NM_001001320
uc008fya.1	ENSMUST00000041871	Tbx10	NM_001001320
uc012bga.1	ENSMUST00000041871	Tbx10	NM_011533
uc008fyb.1	ENSMUST00000155405	Nudt8	NM_025529
uc008fyc.1	ENSMUST00000155405	Nudt8	NM_025529
uc008fyd.1	ENSMUST00000025806	Doc2g	NM_021791
uc008fyj.2	ENSMUST00000159148	Cabp2	NM_001160253
uc012bgc.2	ENSMUST00000162908	Cabp2	NM_013878
uc008fyl.3	ENSMUST00000159556	Cabp2	NM_001160252
uc008fym.1	ENSMUST00000025779	Cdk2ap2	NM_026373
uc008fyn.3	ENSMUST00000049658	Pitpnm1	NM_008851
uc008fyo.2	ENSMUST00000100022	Pitpnm1	NM_008851
uc012bgd.1	ENSMUST00000135257	Tmem134	
uc008fyr.1	ENSMUST00000130619	Tmem134	NM_001078649
uc008fys.1	ENSMUST00000150627	Tmem134	NM_025889
uc008fyt.1	ENSMUST00000139987	Tmem134	
uc008fyu.1	ENSMUST00000150627	Tmem134	
uc008fyv.1	ENSMUST00000139987	Tmem134	
uc008fyx.2	ENSMUST00000096338	Gpr152	NM_206973
uc008fyy.1	ENSMUST00000008893	Coro1b	NM_011778
uc008fza.1	ENSMUST00000061086	Ptprcap	NM_016933
uc008fzg.1	ENSMUST00000046094	Ppp1ca	NM_031868
uc008fzl.2	ENSMUST00000132305	Clcf1	
uc008fzk.2	ENSMUST00000138090	Clcf1	NM_001310038
uc008fzj.2	ENSMUST00000046506	Clcf1	NM_019952
uc057blc.1	ENSMUST00000046506	Clcf1	NM_001310039
uc057bla.1	ENSMUST00000025773	Gm45928	NR_132309
uc057blb.1	ENSMUST00000025773	Gm45928	NR_132308
uc008fzm.3	ENSMUST00000025773	Pold4	NM_027196
uc008fzn.3	ENSMUST00000025773	Pold4	NR_132280
uc012bgj.2	ENSMUST00000154407	A930001C03Rik	NR_045990
uc008gac.2	ENSMUST00000154407	A930001C03Rik	
uc029tqp.1	ENSMUST00000154407	A930001C03Rik	NR_045989
uc029tqq.1	ENSMUST00000136632	A930001C03Rik	
uc008gaf.2	ENSMUST00000068004	Pcx	NM_001162946
uc008gag.2	ENSMUST00000113825	Pcx	NM_008797
uc008gao.1	ENSMUST00000008991	Sptbn2	
uc008gan.1	ENSMUST00000008991	Sptbn2	NM_021287
uc008gaq.1	ENSMUST00000182065	Rbm4b	NM_001290125
uc008gar.1	ENSMUST00000182200	Rbm4b	NM_025717
uc012bgk.1	ENSMUST00000182200	Rbm4b	NM_025717
uc008gas.3	ENSMUST00000036744	Rbm4b	NM_025717
uc008gbb.1	ENSMUST00000088653	Ccdc87	NM_207268
uc008gbc.1	ENSMUST00000119694	Ctsf	NM_019861
uc008gbd.1	ENSMUST00000119694	Ctsf	
uc008gbh.2	ENSMUST00000006632	Zdhhc24	NM_027476
uc012bgp.1	ENSMUST00000162088	Zdhhc24	NM_001168516
uc008gbg.2	ENSMUST00000006632	Zdhhc24	NM_001168517
uc008gbi.2	ENSMUST00000006632	Zdhhc24	
uc008gbt.2	ENSMUST00000025836	Mrpl11	NM_025553
uc008gbv.2	ENSMUST00000025826	Slc29a2	NM_007854
uc012bgs.1	ENSMUST00000025826	Slc29a2	
uc008gbx.1	ENSMUST00000053705	B4gat1	NM_175383
uc008gby.1	ENSMUST00000053705	B4gat1	NM_175383
uc008gbz.1	ENSMUST00000116567	Brms1	NM_134155
uc008gca.1	ENSMUST00000025818	Rin1	NM_145495
uc008gcb.2	ENSMUST00000070630	Cd248	NM_054042
uc008gcd.2	ENSMUST00000025811	Yif1a	NM_026553
uc008gco.2	ENSMUST00000061169	Gal3st3	NM_001024717
uc008gcp.1	ENSMUST00000043380	Catsper1	NM_139301
uc008gct.1	ENSMUST00000025759	Eif1ad	NM_027236
uc008gcx.3	ENSMUST00000128542	4930481A15Rik	NR_015545
uc012bgw.2	ENSMUST00000128542	4930481A15Rik	NR_027938
uc008gdb.3	ENSMUST00000054477	AI837181	NM_001256515
uc008gda.3	ENSMUST00000159759	AI837181	NM_134149
uc008gdc.1	ENSMUST00000025850	Fosl1	NM_010235
uc008gde.2	ENSMUST00000025847	Fibp	
uc008gdj.1	ENSMUST00000025847	Fibp	
uc008gdf.2	ENSMUST00000025847	Fibp	
uc008gdi.1	ENSMUST00000025847	Fibp	
uc008gdh.2	ENSMUST00000025847	Fibp	NM_001253832
uc008gdg.2	ENSMUST00000025847	Fibp	NM_021438
uc008gdl.2	ENSMUST00000165485	Efemp2	NM_021474
uc012bgy.1	ENSMUST00000070118	Efemp2	NM_001164352
uc008gdq.2	ENSMUST00000116560	Cfl1	NM_007687
uc008gdv.1	ENSMUST00000096318	Ap5b1	NM_001362046
uc008gdw.1	ENSMUST00000096318	Ap5b1	NM_001362046
uc008gdx.1	ENSMUST00000025864	Rnaseh2c	NM_026616
uc008gee.1	ENSMUST00000025867	Rela	NM_009045
uc008gef.1	ENSMUST00000025867	Rela	
uc008get.2	ENSMUST00000004156	Map3k11	NM_022012
uc012bhb.2	ENSMUST00000004156	Map3k11	NM_022012
uc008geu.1	ENSMUST00000052448	Kcnk7	NM_010609
uc008gfe.1	ENSMUST00000081496	Ltbp3	NM_008520
uc008gff.1	ENSMUST00000081496	Ltbp3	NM_008520
uc008gfg.1	ENSMUST00000081496	Ltbp3	
uc012bhf.1	ENSMUST00000135347	AK009639	
uc008gfr.1	ENSMUST00000125114	Slc25a45	
uc008gfq.1	ENSMUST00000155697	Slc25a45	NM_001361974
uc008gfs.1	ENSMUST00000025732	Slc25a45	NM_001361974
uc008ggl.2	ENSMUST00000180505	Gm10814	NR_045783
uc033hir.1	ENSMUST00000184338	Mir6988	NR_105954
uc008ggo.1	ENSMUST00000142101	Syvn1	
uc008ggp.1	ENSMUST00000142101	Syvn1	
uc008ggm.2	ENSMUST00000138532	Syvn1	NM_028769
uc008ggn.2	ENSMUST00000134667	Syvn1	NM_001164709
uc008ggt.2	ENSMUST00000178310	Fau	NM_001160239
uc008ggs.2	ENSMUST00000043074	Fau	NM_007990
uc008ggu.2	ENSMUST00000179142	Fau	NM_001190436
uc008ggv.1	ENSMUST00000162726	Znhit2	NM_013859
uc008ghe.2	ENSMUST00000143303	Tmem262	NM_001111317
uc008ghf.3	ENSMUST00000149347	Tmem262	
uc008ghh.1	ENSMUST00000025704	Cdca5	NM_026410
uc008ghi.1	ENSMUST00000156961	Cdca5	NM_026410
uc008ghk.1	ENSMUST00000044451	Naaladl1	NM_001009546
uc008ghp.1	ENSMUST00000045042	Batf2	NM_001356604
uc008ghq.2	ENSMUST00000045042	Batf2	NM_028967
uc012bhj.1	ENSMUST00000113528	Majin	NM_001165919
uc008ghr.2	ENSMUST00000025699	Majin	
uc008ghs.1	ENSMUST00000025698	Gpha2	NM_130453
uc008ghw.1	ENSMUST00000151079	Atg2a	
uc008ghu.1	ENSMUST00000045351	Atg2a	NM_194348
uc008ghv.1	ENSMUST00000045351	Atg2a	NM_194348
uc008ghx.2	ENSMUST00000083648	Mir194-2	NR_029830
uc012bhk.1	ENSMUST00000083589	Mir192	NR_029720
uc008ghz.1	ENSMUST00000025684	Ehd1	NM_010119
uc008gia.2	ENSMUST00000025681	Cdc42bpg	NM_001033342
uc008gib.2	ENSMUST00000113504	Men1	NM_001168488
uc008gid.2	ENSMUST00000079327	Men1	NM_001168489
uc008gic.2	ENSMUST00000056391	Men1	NM_008583
uc012bhl.1	ENSMUST00000056391	Men1	NM_001168490
uc056zhj.1	ENSMUST00000184812	Mir6989	NR_105955
uc008gij.1	ENSMUST00000152259	Map4k2	NM_001291787
uc008gig.2	ENSMUST00000025897	Map4k2	NM_001291787
uc008gie.2	ENSMUST00000025897	Map4k2	NM_009006
uc008gif.2	ENSMUST00000025897	Map4k2	
uc008gih.2	ENSMUST00000133696	Map4k2	NM_001291787
uc008gii.2	ENSMUST00000133696	Map4k2	
uc056zhk.1	ENSMUST00000025897	Map4k2	
uc008gik.2	ENSMUST00000131252	Sf1	NM_001110791
uc008gim.2	ENSMUST00000131252	Sf1	NM_011750
uc008gil.2	ENSMUST00000131252	Sf1	NR_122118
uc008gio.2	ENSMUST00000035269	Pygm	NM_011224
uc008giq.1	ENSMUST00000113469	Rasgrp2	
uc008gir.1	ENSMUST00000135532	Rasgrp2	
uc008gip.1	ENSMUST00000035716	Rasgrp2	NM_011242
uc008gis.1	ENSMUST00000149205	Rasgrp2	NM_011242
uc008git.2	ENSMUST00000128272	Nrxn2	
uc008gix.1	ENSMUST00000150792	Nrxn2	NM_001205235
uc008giv.2	ENSMUST00000113462	Nrxn2	NM_020253
uc012bhm.2	ENSMUST00000113462	Nrxn2	NM_001205235
uc008giu.2	ENSMUST00000113462	Nrxn2	NM_001205234
uc008giy.1	ENSMUST00000113459	Nrxn2	
uc008gjf.1	ENSMUST00000088257	Trmt112	NM_026306
uc008gjd.3	ENSMUST00000088257	Trmt112	NM_026306
uc008gje.3	ENSMUST00000116551	Trmt112	NM_001166370
uc008gjn.2	ENSMUST00000025910	Bad	NM_007522
uc008gjo.2	ENSMUST00000113423	Bad	NM_001285453
uc008gjs.1	ENSMUST00000070850	Ppp1r14b	NM_008889
uc012bhs.1	ENSMUST00000088223	Trpt1	
uc008gka.2	ENSMUST00000088223	Trpt1	NM_153597
uc012bhr.1	ENSMUST00000088223	Trpt1	NR_027351
uc008gkg.2	ENSMUST00000040261	Macrod1	NM_134147
uc008gkn.2	ENSMUST00000066646	Rcor2	NM_054048
uc008gko.3	ENSMUST00000066646	Rcor2	NM_001320554
uc008gku.1	ENSMUST00000170286	AK133024	
uc008gkx.3	ENSMUST00000186160	1700105P06Rik	NR_045703
uc033hiv.1	ENSMUST00000183837	Mir6991	NR_105957
uc008gkz.2	ENSMUST00000159348	2700081O15Rik	NM_175381
uc008gla.1	ENSMUST00000159348	2700081O15Rik	NM_175381
uc012bhw.1	ENSMUST00000170373	Atl3	NM_001163505
uc008glg.2	ENSMUST00000025668	Atl3	NM_146091
uc008glh.1	ENSMUST00000136465	Pla2g16	NM_139269
uc008gli.1	ENSMUST00000025925	Pla2g16	NM_139269
uc008glj.1	ENSMUST00000025925	Pla2g16	NM_139269
uc008glm.1	ENSMUST00000131326	Hrasls5	NM_025731
uc008gln.1	ENSMUST00000025929	Hrasls5	NM_025731
uc008gmc.2	ENSMUST00000010251	Slc22a8	NM_031194
uc012bia.1	ENSMUST00000170817	Slc22a8	NM_001164634
uc008gmd.2	ENSMUST00000010251	Slc22a8	NM_001164635
uc008gme.2	ENSMUST00000010250	Slc22a6	NM_008766
uc008gmg.3	ENSMUST00000163785	Chrm1	NM_001112697
uc008gmf.3	ENSMUST00000163785	Chrm1	NM_007698
uc012bid.1	ENSMUST00000083153	Snord22	NR_004445
uc008gmj.2	ENSMUST00000180819	Snhg1	NR_002896
uc008gmk.2	ENSMUST00000180819	Snhg1	
uc008gml.1	ENSMUST00000181422	Snhg1	
uc008gmm.1	ENSMUST00000049424	Wdr74	NM_134139
uc012bie.1	ENSMUST00000049424	Wdr74	NM_134139
uc008gmn.2	ENSMUST00000163172	1700092M07Rik	NM_001177347
uc033hiy.1	ENSMUST00000183342	Mir6992	NR_105958
uc008gmo.2	ENSMUST00000176381	Stx5a	NM_001167799
uc008gmp.2	ENSMUST00000073430	Stx5a	NM_019829
uc008gmr.1	ENSMUST00000010241	Nxf1	NM_016813
uc033hiz.1	ENSMUST00000184970	Nxf1	NM_001276704
uc008gms.1	ENSMUST00000010248	Tmem223	NM_025791
uc008gnb.1	ENSMUST00000172175	Zbtb3	NM_133759
uc008gnc.1	ENSMUST00000172175	Zbtb3	NM_001098237
uc008gng.1	ENSMUST00000096753	Hnrnpul2	NM_001081196
uc008gni.2	ENSMUST00000171649	Bscl2	NM_001136064
uc008gnj.2	ENSMUST00000160556	Bscl2	NM_008144
uc008gnk.3	ENSMUST00000086058	Bscl2	NM_001290823
uc008gnl.2	ENSMUST00000162071	Bscl2	NM_001290823
uc008gnm.1	ENSMUST00000096257	Lrrn4cl	NM_001360628
uc008gnn.2	ENSMUST00000096257	Lrrn4cl	NM_001360628
uc008gnp.1	ENSMUST00000166407	Ubxn1	NM_146093
uc008gnq.1	ENSMUST00000096255	Ubxn1	NM_146093
uc008gno.1	ENSMUST00000096255	Ubxn1	
uc033hjc.1	ENSMUST00000187504	Lbhd1	NM_001286103
uc008gnt.2	ENSMUST00000096251	1810009A15Rik	NM_025463
uc008gnu.2	ENSMUST00000096249	Ints5	NM_176843
uc008gnv.2	ENSMUST00000096246	Ganab	
uc008gny.1	ENSMUST00000096246	Ganab	
uc008gnw.2	ENSMUST00000096246	Ganab	NM_008060
uc008gnx.2	ENSMUST00000096246	Ganab	NM_001293621
uc012bif.2	ENSMUST00000096246	Ganab	
uc012big.2	ENSMUST00000096246	Ganab	NM_001293621
uc008gnz.1	ENSMUST00000096243	B3gat3	
uc008goa.1	ENSMUST00000096243	B3gat3	NM_024256
uc008gob.1	ENSMUST00000096243	B3gat3	NM_024256
uc008god.1	ENSMUST00000096241	Eml3	NM_144872
uc008goe.1	ENSMUST00000096241	Eml3	NM_144872
uc008gof.1	ENSMUST00000096240	Mta2	NM_011842
uc012bih.1	ENSMUST00000096239	Tut1	
uc008gog.1	ENSMUST00000096239	Tut1	NM_197993
uc008goh.1	ENSMUST00000096239	Tut1	NM_197993
uc008goi.1	ENSMUST00000052248	Eef1g	NM_026007
uc008goj.2	ENSMUST00000092956	Ahnak	NM_009643
uc012bii.2	ENSMUST00000092955	Ahnak	NM_001286518
uc008gol.2	ENSMUST00000092955	Ahnak	NM_001039959
uc008gok.2	ENSMUST00000092955	Ahnak	NM_001039959
uc008goo.1	ENSMUST00000142025	AK048878	
uc029tre.1	ENSMUST00000102415	AB349811	
uc008got.2	ENSMUST00000025563	Fth1	NM_010239
uc057lah.1	ENSMUST00000117641	Rab3il1	NM_001347430
uc008gov.1	ENSMUST00000121418	Rab3il1	NM_001347429
uc008gow.1	ENSMUST00000113161	Rab3il1	NM_001347429
uc008gox.1	ENSMUST00000113161	Rab3il1	NM_001347430
uc008goy.1	ENSMUST00000144788	Rab3il1	NM_001347429
uc008goz.1	ENSMUST00000115995	Fads3	NM_021890
uc057lai.1	ENSMUST00000115995	Fads3	NM_021890
uc008gpd.2	ENSMUST00000010807	Fads1	NM_146094
uc033hjf.1	ENSMUST00000184912	Mir6993	NR_105959
uc008gpe.3	ENSMUST00000010807	Fads1	NM_146094
uc008gpi.2	ENSMUST00000040372	Tmem258	NM_026919
uc008gpj.2	ENSMUST00000166412	Tmem258	NM_001163431
uc012bin.1	ENSMUST00000169121	Syt7	NM_173068
uc008gpp.2	ENSMUST00000076968	Syt7	NM_173067
uc008gpq.2	ENSMUST00000073899	Syt7	NM_018801
uc008gpw.2	ENSMUST00000038379	Cpsf7	NM_172302
uc008gpx.2	ENSMUST00000038379	Cpsf7	NM_172302
uc008gpy.2	ENSMUST00000038379	Cpsf7	NM_172302
uc008gqa.2	ENSMUST00000038379	Cpsf7	NM_001164272
uc008gpz.2	ENSMUST00000038379	Cpsf7	NM_172302
uc008gqh.2	ENSMUST00000168445	Cyb561a3	NM_001282067
uc008gqg.2	ENSMUST00000168445	Cyb561a3	NM_001282064
uc008gqj.2	ENSMUST00000168445	Cyb561a3	NM_201351
uc008gqi.2	ENSMUST00000168445	Cyb561a3	NM_001282065
uc008gqm.2	ENSMUST00000025649	Ddb1	NM_015735
uc008gqo.2	ENSMUST00000055115	Vwce	NM_027913
uc008gqn.2	ENSMUST00000055115	Vwce	
uc008gqr.1	ENSMUST00000087951	Vps37c	NM_001361959
uc008gqs.1	ENSMUST00000087951	Vps37c	NM_001361959
uc008gqt.1	ENSMUST00000087951	Vps37c	NM_001361959
uc012biq.1	ENSMUST00000186596	A430093F15Rik	NR_027805
uc008gqw.3	ENSMUST00000186596	A430093F15Rik	
uc008gra.2	ENSMUST00000025646	Slc15a3	NM_023044
uc008grb.1	ENSMUST00000138263	Slc15a3	
uc008grf.2	ENSMUST00000179297	Prpf19	NM_134129
uc008grg.2	ENSMUST00000179297	Prpf19	NM_001253843
uc029trh.1	ENSMUST00000179297	Prpf19	NM_001253844
uc008gri.1	ENSMUST00000037261	Ptgdr2	NM_009962
uc029tri.1	ENSMUST00000181137	4930526L06Rik	NR_045317
uc057blh.1	ENSMUST00000188995	Ms4a4a	NM_001310331
uc008gsc.2	ENSMUST00000072729	Ms4a4c	NM_029499
uc012biw.1	ENSMUST00000072729	Ms4a4c	
uc008gsd.2	ENSMUST00000136366	Ms4a4b	
uc008gse.1	ENSMUST00000145160	Ms4a4b	NM_021718
uc008gsf.2	ENSMUST00000035258	Ms4a4b	NM_021718
uc008gsg.2	ENSMUST00000187462	Ms4a6c	NM_001166376
uc008gsh.3	ENSMUST00000165310	Ms4a6c	NM_028595
uc012bix.1	ENSMUST00000079855	Gm8369	NM_001164202
uc008gsk.1	ENSMUST00000025580	Ms4a6b	NM_027209
uc008gsl.1	ENSMUST00000025581	Ms4a4d	NM_025658
uc008gsv.1	ENSMUST00000069760	Oosp3	NM_001033283
uc012biz.1	ENSMUST00000069760	Oosp3	
uc008gsw.1	ENSMUST00000025585	Gif	NM_008118
uc008gsx.2	ENSMUST00000167199	Mrpl16	NM_025606
uc008gtg.1	ENSMUST00000072784	Olfr1420	NM_146410
uc008gth.2	ENSMUST00000061618	Patl1	NM_172635
uc008gti.2	ENSMUST00000061618	Patl1	
uc008gtj.1	ENSMUST00000025590	Osbp	NM_001033174
uc008gtk.1	ENSMUST00000025590	Osbp	NM_001033174
uc008gts.1	ENSMUST00000072316	Olfr1431	NM_146414
uc008gtu.1	ENSMUST00000073507	Olfr235	NM_146686
uc008gtv.2	ENSMUST00000087814	Olfr1434	NM_146685
uc008gty.1	ENSMUST00000054567	Olfr1440	NM_146684
uc008gtz.1	ENSMUST00000059033	Olfr1441	NM_146683
uc008gua.1	ENSMUST00000168148	Pfpl	NM_019540
uc008gub.1	ENSMUST00000081035	Mpeg1	NM_010821
uc008guf.1	ENSMUST00000025595	Fam111a	NM_026640
uc012bja.1	ENSMUST00000025595	Fam111a	NM_001346545
uc012bjc.1	ENSMUST00000092931	Gm4952	NM_001167907
uc008gug.2	ENSMUST00000092931	Gm4952	NM_001013762
uc008guh.1	ENSMUST00000044976	Glyat	NM_145935
uc008gui.1	ENSMUST00000044976	Glyat	
uc008guj.2	ENSMUST00000057924	Olfr1442	NM_146697
uc008guk.2	ENSMUST00000049724	Olfr1443	NM_146698
uc008gul.2	ENSMUST00000123407	Keg1	NM_029550
uc008gum.3	ENSMUST00000025598	Keg1	NM_029550
uc008guq.1	ENSMUST00000025601	Lpxn	NM_001361971
uc008gur.1	ENSMUST00000059675	Olfr1444	NM_146702
uc008gus.1	ENSMUST00000049624	Olfr1445	NM_146699
uc008guy.1	ENSMUST00000056005	Olfr1449	NM_146303
uc008guz.1	ENSMUST00000082006	Olfr1450	NM_146371
uc008gva.1	ENSMUST00000063144	Olfr1451	NM_146705
uc008gvc.1	ENSMUST00000073732	Olfr1454	NM_146692
uc008gvf.1	ENSMUST00000053772	Olfr1461	NM_146302
uc008gvg.1	ENSMUST00000076832	Olfr1462	NM_146693
uc008gvh.1	ENSMUST00000064102	Olfr1463	NM_001011840
uc008gvj.1	ENSMUST00000075868	Olfr1466	NM_146694
uc008gvk.1	ENSMUST00000054687	Olfr1467	NM_146691
uc008gvl.1	ENSMUST00000077538	Olfr1469	NM_146695
uc008gvm.1	ENSMUST00000096203	Olfr1471	NM_207132
uc008gvo.1	ENSMUST00000096202	Olfr1474	NM_001011842
uc008gvq.1	ENSMUST00000096201	Olfr1477	NM_146696
uc008gvr.1	ENSMUST00000072219	Olfr1480	NM_207575
uc008gvs.1	ENSMUST00000074180	Olfr1484	NM_146291
uc008gvt.1	ENSMUST00000076856	Olfr1487	NM_146636
uc008gvu.1	ENSMUST00000053113	Olfr1489	NM_146635
uc008gvv.1	ENSMUST00000080162	Olfr1490	NM_001011832
uc008gvw.1	ENSMUST00000052737	Olfr1491	NM_146345
uc008gvx.1	ENSMUST00000051768	Olfr1494	NM_146990
uc008gvy.1	ENSMUST00000061669	Olfr1495	NM_146344
uc008gvz.2	ENSMUST00000057390	Olfr1496	NM_146989
uc008gwe.1	ENSMUST00000074221	Olfr1502	NM_146797
uc008gwi.1	ENSMUST00000081520	Olfr1505	NM_001011850
uc008gws.1	ENSMUST00000181731	C130060C02Rik	NR_045355
uc008gwt.1	ENSMUST00000025541	Gnaq	NM_008139
uc008gwu.2	ENSMUST00000025602	Gna14	NM_008137
uc008gxd.1	ENSMUST00000087689	Prune2	
uc008gxi.1	ENSMUST00000087689	Prune2	
uc008gxg.2	ENSMUST00000087689	Prune2	NM_181348
uc008gxf.2	ENSMUST00000087689	Prune2	
uc008gxh.2	ENSMUST00000087689	Prune2	
uc008gxj.2	ENSMUST00000087689	Prune2	
uc008gxk.2	ENSMUST00000087689	Prune2	
uc008gxo.2	ENSMUST00000025617	Rfk	NM_019437
uc008gxt.2	ENSMUST00000159572	Nmrk1	NM_145497
uc008gxu.2	ENSMUST00000159572	Nmrk1	NM_145497
uc008gxx.1	ENSMUST00000025632	Carnmt1	
uc008gxv.1	ENSMUST00000025632	Carnmt1	NM_026120
uc008gxw.1	ENSMUST00000025632	Carnmt1	
