FILE_NAME	RUN	EXPERIMENT	LAB	POP	CENTER	LAB-POP-CENTER
ERR188310_quant.sf	ERR188310	ERS185232	3	GBR	MPIMG	3-GBR-MPIMG
ERR188059_quant.sf	ERR188059	ERS185099	1	GBR	UNIGE	1-GBR-UNIGE
ERR188461_quant.sf	ERR188461	ERS185403	1	GBR	UNIGE	1-GBR-UNIGE
ERR188337_quant.sf	ERR188337	ERS185094	1	GBR	UNIGE	1-GBR-UNIGE
ERR188245_quant.sf	ERR188245	ERS185471	1	GBR	UNIGE	1-GBR-UNIGE
ERR188412_quant.sf	ERR188412	ERS185235	4	GBR	ICMB	4-GBR-ICMB
ERR188443_quant.sf	ERR188443	ERS185469	5	GBR	HMGU	5-GBR-HMGU
ERR188403_quant.sf	ERR188403	ERS185429	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188430_quant.sf	ERR188430	ERS185425	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188189_quant.sf	ERR188189	ERS185115	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188338_quant.sf	ERR188338	ERS185273	6	GBR	UU	6-GBR-UU
ERR188133_quant.sf	ERR188133	ERS185033	3	GBR	MPIMG	3-GBR-MPIMG
ERR188383_quant.sf	ERR188383	ERS185448	4	GBR	ICMB	4-GBR-ICMB
ERR188095_quant.sf	ERR188095	ERS185374	6	GBR	UU	6-GBR-UU
ERR188385_quant.sf	ERR188385	ERS185179	5	GBR	HMGU	5-GBR-HMGU
ERR188144_quant.sf	ERR188144	ERS185358	7	GBR	LUMC	7-GBR-LUMC
ERR188401_quant.sf	ERR188401	ERS185234	5	GBR	HMGU	5-GBR-HMGU
ERR188466_quant.sf	ERR188466	ERS185174	4	GBR	ICMB	4-GBR-ICMB
ERR188257_quant.sf	ERR188257	ERS185423	7	GBR	LUMC	7-GBR-LUMC
ERR188073_quant.sf	ERR188073	ERS185111	6	GBR	UU	6-GBR-UU
ERR188455_quant.sf	ERR188455	ERS185338	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188379_quant.sf	ERR188379	ERS185257	3	GBR	MPIMG	3-GBR-MPIMG
ERR188065_quant.sf	ERR188065	ERS185333	1	GBR	UNIGE	1-GBR-UNIGE
ERR188309_quant.sf	ERR188309	ERS185070	4	GBR	ICMB	4-GBR-ICMB
ERR188116_quant.sf	ERR188116	ERS185251	3	GBR	MPIMG	3-GBR-MPIMG
ERR188084_quant.sf	ERR188084	ERS185312	7	GBR	LUMC	7-GBR-LUMC
ERR188468_quant.sf	ERR188468	ERS185376	5	GBR	HMGU	5-GBR-HMGU
ERR188028_quant.sf	ERR188028	ERS185215	1	GBR	UNIGE	1-GBR-UNIGE
ERR188287_quant.sf	ERR188287	ERS185243	4	GBR	ICMB	4-GBR-ICMB
ERR188041_quant.sf	ERR188041	ERS185091	5	GBR	HMGU	5-GBR-HMGU
ERR188332_quant.sf	ERR188332	ERS185090	1	GBR	UNIGE	1-GBR-UNIGE
ERR188164_quant.sf	ERR188164	ERS185283	7	GBR	LUMC	7-GBR-LUMC
ERR188387_quant.sf	ERR188387	ERS185282	3	GBR	MPIMG	3-GBR-MPIMG
ERR188190_quant.sf	ERR188190	ERS185245	3	FIN	MPIMG	3-FIN-MPIMG
ERR188445_quant.sf	ERR188445	ERS185225	3	FIN	MPIMG	3-FIN-MPIMG
ERR188163_quant.sf	ERR188163	ERS185491	4	FIN	ICMB	4-FIN-ICMB
ERR188187_quant.sf	ERR188187	ERS185299	4	FIN	ICMB	4-FIN-ICMB
ERR188180_quant.sf	ERR188180	ERS185418	4	FIN	ICMB	4-FIN-ICMB
ERR188248_quant.sf	ERR188248	ERS185089	4	FIN	ICMB	4-FIN-ICMB
ERR188304_quant.sf	ERR188304	ERS185398	1	FIN	UNIGE	1-FIN-UNIGE
ERR188146_quant.sf	ERR188146	ERS185065	1	FIN	UNIGE	1-FIN-UNIGE
ERR188118_quant.sf	ERR188118	ERS185173	4	FIN	ICMB	4-FIN-ICMB
ERR188149_quant.sf	ERR188149	ERS185135	1	FIN	UNIGE	1-FIN-UNIGE
ERR188302_quant.sf	ERR188302	ERS185277	5	FIN	HMGU	5-FIN-HMGU
ERR188320_quant.sf	ERR188320	ERS185209	1	FIN	UNIGE	1-FIN-UNIGE
ERR188090_quant.sf	ERR188090	ERS185315	3	FIN	MPIMG	3-FIN-MPIMG
ERR188425_quant.sf	ERR188425	ERS185355	1	FIN	UNIGE	1-FIN-UNIGE
ERR188400_quant.sf	ERR188400	ERS185201	1	FIN	UNIGE	1-FIN-UNIGE
ERR188361_quant.sf	ERR188361	ERS185079	1	FIN	UNIGE	1-FIN-UNIGE
ERR188212_quant.sf	ERR188212	ERS185286	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188289_quant.sf	ERR188289	ERS185351	7	GBR	LUMC	7-GBR-LUMC
ERR188312_quant.sf	ERR188312	ERS185350	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188237_quant.sf	ERR188237	ERS185334	7	GBR	LUMC	7-GBR-LUMC
ERR188450_quant.sf	ERR188450	ERS185279	1	GBR	UNIGE	1-GBR-UNIGE
ERR188036_quant.sf	ERR188036	ERS185237	5	GBR	HMGU	5-GBR-HMGU
ERR188333_quant.sf	ERR188333	ERS185034	5	GBR	HMGU	5-GBR-HMGU
ERR188112_quant.sf	ERR188112	ERS185379	7	GBR	LUMC	7-GBR-LUMC
ERR188370_quant.sf	ERR188370	ERS185105	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188053_quant.sf	ERR188053	ERS185337	3	GBR	MPIMG	3-GBR-MPIMG
ERR188411_quant.sf	ERR188411	ERS185501	4	GBR	ICMB	4-GBR-ICMB
ERR188448_quant.sf	ERR188448	ERS185335	5	GBR	HMGU	5-GBR-HMGU
ERR188159_quant.sf	ERR188159	ERS185364	4	GBR	ICMB	4-GBR-ICMB
ERR188271_quant.sf	ERR188271	ERS185192	7	GBR	LUMC	7-GBR-LUMC
ERR188106_quant.sf	ERR188106	ERS185114	3	GBR	MPIMG	3-GBR-MPIMG
ERR188456_quant.sf	ERR188456	ERS185410	3	GBR	MPIMG	3-GBR-MPIMG
ERR188080_quant.sf	ERR188080	ERS185185	1	GBR	UNIGE	1-GBR-UNIGE
ERR188154_quant.sf	ERR188154	ERS185361	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188464_quant.sf	ERR188464	ERS185473	1	GBR	UNIGE	1-GBR-UNIGE
ERR188351_quant.sf	ERR188351	ERS185372	5	GBR	HMGU	5-GBR-HMGU
ERR188111_quant.sf	ERR188111	ERS185046	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188091_quant.sf	ERR188091	ERS185256	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188323_quant.sf	ERR188323	ERS185472	4	GBR	ICMB	4-GBR-ICMB
ERR188242_quant.sf	ERR188242	ERS185466	1	GBR	UNIGE	1-GBR-UNIGE
ERR188378_quant.sf	ERR188378	ERS185384	5	GBR	HMGU	5-GBR-HMGU
ERR188185_quant.sf	ERR188185	ERS185151	5	GBR	HMGU	5-GBR-HMGU
ERR188130_quant.sf	ERR188130	ERS185182	6	GBR	UU	6-GBR-UU
ERR188057_quant.sf	ERR188057	ERS185456	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188070_quant.sf	ERR188070	ERS185363	6	GBR	UU	6-GBR-UU
ERR188366_quant.sf	ERR188366	ERS185271	6	GBR	UU	6-GBR-UU
ERR188222_quant.sf	ERR188222	ERS185269	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188267_quant.sf	ERR188267	ERS185177	6	FIN	UU	6-FIN-UU
ERR188355_quant.sf	ERR188355	ERS185270	4	FIN	ICMB	4-FIN-ICMB
ERR188117_quant.sf	ERR188117	ERS185078	5	FIN	HMGU	5-FIN-HMGU
ERR188238_quant.sf	ERR188238	ERS185106	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188397_quant.sf	ERR188397	ERS185394	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188250_quant.sf	ERR188250	ERS185417	7	FIN	LUMC	7-FIN-LUMC
ERR188034_quant.sf	ERR188034	ERS185458	3	FIN	MPIMG	3-FIN-MPIMG
ERR188264_quant.sf	ERR188264	ERS185122	6	FIN	UU	6-FIN-UU
ERR188326_quant.sf	ERR188326	ERS185467	4	FIN	ICMB	4-FIN-ICMB
ERR188318_quant.sf	ERR188318	ERS185360	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188274_quant.sf	ERR188274	ERS185158	3	FIN	MPIMG	3-FIN-MPIMG
ERR188230_quant.sf	ERR188230	ERS185328	1	FIN	UNIGE	1-FIN-UNIGE
ERR188457_quant.sf	ERR188457	ERS185196	1	FIN	UNIGE	1-FIN-UNIGE
ERR188263_quant.sf	ERR188263	ERS185157	1	FIN	UNIGE	1-FIN-UNIGE
ERR188266_quant.sf	ERR188266	ERS185250	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188194_quant.sf	ERR188194	ERS185163	1	FIN	UNIGE	1-FIN-UNIGE
ERR188083_quant.sf	ERR188083	ERS185319	3	FIN	MPIMG	3-FIN-MPIMG
ERR188240_quant.sf	ERR188240	ERS185146	1	FIN	UNIGE	1-FIN-UNIGE
ERR188482_quant.sf	ERR188482	ERS185080	3	FIN	MPIMG	3-FIN-MPIMG
ERR188432_quant.sf	ERR188432	ERS185441	7	FIN	LUMC	7-FIN-LUMC
ERR188205_quant.sf	ERR188205	ERS185202	4	FIN	ICMB	4-FIN-ICMB
ERR188121_quant.sf	ERR188121	ERS185440	4	FIN	ICMB	4-FIN-ICMB
ERR188346_quant.sf	ERR188346	ERS185424	7	FIN	LUMC	7-FIN-LUMC
ERR188123_quant.sf	ERR188123	ERS185213	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188023_quant.sf	ERR188023	ERS185236	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188300_quant.sf	ERR188300	ERS185165	4	FIN	ICMB	4-FIN-ICMB
ERR188046_quant.sf	ERR188046	ERS185139	1	FIN	UNIGE	1-FIN-UNIGE
ERR188045_quant.sf	ERR188045	ERS185194	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188255_quant.sf	ERR188255	ERS185445	1	FIN	UNIGE	1-FIN-UNIGE
ERR188113_quant.sf	ERR188113	ERS185428	1	FIN	UNIGE	1-FIN-UNIGE
ERR188218_quant.sf	ERR188218	ERS185357	5	FIN	HMGU	5-FIN-HMGU
ERR188418_quant.sf	ERR188418	ERS185036	1	FIN	UNIGE	1-FIN-UNIGE
ERR188417_quant.sf	ERR188417	ERS185187	3	FIN	MPIMG	3-FIN-MPIMG
ERR188341_quant.sf	ERR188341	ERS185280	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188439_quant.sf	ERR188439	ERS185408	5	FIN	HMGU	5-FIN-HMGU
ERR188296_quant.sf	ERR188296	ERS185042	1	FIN	UNIGE	1-FIN-UNIGE
ERR188056_quant.sf	ERR188056	ERS185265	7	FIN	LUMC	7-FIN-LUMC
ERR188294_quant.sf	ERR188294	ERS185309	6	FIN	UU	6-FIN-UU
ERR188127_quant.sf	ERR188127	ERS185189	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188156_quant.sf	ERR188156	ERS185463	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188033_quant.sf	ERR188033	ERS185303	1	FIN	UNIGE	1-FIN-UNIGE
ERR188098_quant.sf	ERR188098	ERS185119	5	FIN	HMGU	5-FIN-HMGU
ERR188169_quant.sf	ERR188169	ERS185255	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188321_quant.sf	ERR188321	ERS185492	4	FIN	ICMB	4-FIN-ICMB
ERR188197_quant.sf	ERR188197	ERS185404	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188270_quant.sf	ERR188270	ERS185104	1	FIN	UNIGE	1-FIN-UNIGE
ERR188141_quant.sf	ERR188141	ERS185382	1	FIN	UNIGE	1-FIN-UNIGE
ERR188473_quant.sf	ERR188473	ERS185252	4	FIN	ICMB	4-FIN-ICMB
ERR188038_quant.sf	ERR188038	ERS185098	1	FIN	UNIGE	1-FIN-UNIGE
ERR188168_quant.sf	ERR188168	ERS185059	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188075_quant.sf	ERR188075	ERS185027	4	FIN	ICMB	4-FIN-ICMB
ERR188031_quant.sf	ERR188031	ERS185198	3	FIN	MPIMG	3-FIN-MPIMG
ERR188124_quant.sf	ERR188124	ERS185172	6	FIN	UU	6-FIN-UU
ERR188340_quant.sf	ERR188340	ERS185168	1	FIN	UNIGE	1-FIN-UNIGE
ERR188029_quant.sf	ERR188029	ERS185329	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188241_quant.sf	ERR188241	ERS185436	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188089_quant.sf	ERR188089	ERS185208	5	FIN	HMGU	5-FIN-HMGU
ERR188175_quant.sf	ERR188175	ERS185274	1	FIN	UNIGE	1-FIN-UNIGE
ERR188374_quant.sf	ERR188374	ERS185399	3	FIN	MPIMG	3-FIN-MPIMG
ERR188215_quant.sf	ERR188215	ERS185084	7	FIN	LUMC	7-FIN-LUMC
ERR188480_quant.sf	ERR188480	ERS185444	3	FIN	MPIMG	3-FIN-MPIMG
ERR188303_quant.sf	ERR188303	ERS185118	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188395_quant.sf	ERR188395	ERS185297	7	FIN	LUMC	7-FIN-LUMC
ERR188150_quant.sf	ERR188150	ERS185291	4	FIN	ICMB	4-FIN-ICMB
ERR188358_quant.sf	ERR188358	ERS185229	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188260_quant.sf	ERR188260	ERS185365	5	FIN	HMGU	5-FIN-HMGU
ERR188362_quant.sf	ERR188362	ERS185302	1	FIN	UNIGE	1-FIN-UNIGE
ERR188078_quant.sf	ERR188078	ERS185218	4	FIN	ICMB	4-FIN-ICMB
ERR188198_quant.sf	ERR188198	ERS185076	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188462_quant.sf	ERR188462	ERS185222	4	FIN	ICMB	4-FIN-ICMB
ERR188299_quant.sf	ERR188299	ERS185150	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188025_quant.sf	ERR188025	ERS185451	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188472_quant.sf	ERR188472	ERS185047	5	FIN	HMGU	5-FIN-HMGU
ERR188330_quant.sf	ERR188330	ERS185414	5	FIN	HMGU	5-FIN-HMGU
ERR188314_quant.sf	ERR188314	ERS185393	3	FIN	MPIMG	3-FIN-MPIMG
ERR188280_quant.sf	ERR188280	ERS185385	3	FIN	MPIMG	3-FIN-MPIMG
ERR188115_quant.sf	ERR188115	ERS185056	4	FIN	ICMB	4-FIN-ICMB
ERR188102_quant.sf	ERR188102	ERS185130	1	FIN	UNIGE	1-FIN-UNIGE
ERR188043_quant.sf	ERR188043	ERS185184	2	FIN	CNAG_CRG	2-FIN-CNAG_CRG
ERR188469_quant.sf	ERR188469	ERS185045	7	GBR	LUMC	7-GBR-LUMC
ERR188391_quant.sf	ERR188391	ERS185200	6	GBR	UU	6-GBR-UU
ERR188407_quant.sf	ERR188407	ERS185025	3	GBR	MPIMG	3-GBR-MPIMG
ERR188478_quant.sf	ERR188478	ERS185261	2	GBR	CNAG_CRG	2-GBR-CNAG_CRG
ERR188470_quant.sf	ERR188470	ERS185197	1	GBR	UNIGE	1-GBR-UNIGE
ERR188325_quant.sf	ERR188325	ERS185153	1	CEU	UNIGE	1-CEU-UNIGE
ERR188327_quant.sf	ERR188327	ERS185170	1	CEU	UNIGE	1-CEU-UNIGE
ERR188213_quant.sf	ERR188213	ERS185470	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188202_quant.sf	ERR188202	ERS185502	3	CEU	MPIMG	3-CEU-MPIMG
ERR188047_quant.sf	ERR188047	ERS185383	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188376_quant.sf	ERR188376	ERS185431	6	CEU	UU	6-CEU-UU
ERR188481_quant.sf	ERR188481	ERS185308	6	CEU	UU	6-CEU-UU
ERR188474_quant.sf	ERR188474	ERS185266	5	CEU	HMGU	5-CEU-HMGU
ERR188027_quant.sf	ERR188027	ERS185031	1	CEU	UNIGE	1-CEU-UNIGE
ERR188135_quant.sf	ERR188135	ERS185346	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188324_quant.sf	ERR188324	ERS185160	7	CEU	LUMC	7-CEU-LUMC
ERR188176_quant.sf	ERR188176	ERS185180	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188101_quant.sf	ERR188101	ERS185493	4	CEU	ICMB	4-CEU-ICMB
ERR188389_quant.sf	ERR188389	ERS185067	4	CEU	ICMB	4-CEU-ICMB
ERR188433_quant.sf	ERR188433	ERS185107	6	CEU	UU	6-CEU-UU
ERR188435_quant.sf	ERR188435	ERS185097	3	CEU	MPIMG	3-CEU-MPIMG
ERR188067_quant.sf	ERR188067	ERS185295	7	CEU	LUMC	7-CEU-LUMC
ERR188217_quant.sf	ERR188217	ERS185066	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188246_quant.sf	ERR188246	ERS185072	6	CEU	UU	6-CEU-UU
ERR188426_quant.sf	ERR188426	ERS185326	4	CEU	ICMB	4-CEU-ICMB
ERR188272_quant.sf	ERR188272	ERS185240	1	CEU	UNIGE	1-CEU-UNIGE
ERR188086_quant.sf	ERR188086	ERS185176	1	CEU	UNIGE	1-CEU-UNIGE
ERR188077_quant.sf	ERR188077	ERS185138	7	CEU	LUMC	7-CEU-LUMC
ERR188122_quant.sf	ERR188122	ERS185454	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188161_quant.sf	ERR188161	ERS185205	1	CEU	UNIGE	1-CEU-UNIGE
ERR188371_quant.sf	ERR188371	ERS185051	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188235_quant.sf	ERR188235	ERS185438	3	CEU	MPIMG	3-CEU-MPIMG
ERR188049_quant.sf	ERR188049	ERS185392	1	CEU	UNIGE	1-CEU-UNIGE
ERR188062_quant.sf	ERR188062	ERS185096	6	CEU	UU	6-CEU-UU
ERR188233_quant.sf	ERR188233	ERS185053	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188301_quant.sf	ERR188301	ERS185092	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188348_quant.sf	ERR188348	ERS185494	7	CEU	LUMC	7-CEU-LUMC
ERR188336_quant.sf	ERR188336	ERS185154	4	CEU	ICMB	4-CEU-ICMB
ERR188058_quant.sf	ERR188058	ERS185109	4	CEU	ICMB	4-CEU-ICMB
ERR188076_quant.sf	ERR188076	ERS185344	5	CEU	HMGU	5-CEU-HMGU
ERR188414_quant.sf	ERR188414	ERS185386	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188229_quant.sf	ERR188229	ERS185029	4	CEU	ICMB	4-CEU-ICMB
ERR188377_quant.sf	ERR188377	ERS185387	3	CEU	MPIMG	3-CEU-MPIMG
ERR188415_quant.sf	ERR188415	ERS185060	5	CEU	HMGU	5-CEU-HMGU
ERR188039_quant.sf	ERR188039	ERS185495	4	CEU	ICMB	4-CEU-ICMB
ERR188172_quant.sf	ERR188172	ERS185043	5	CEU	HMGU	5-CEU-HMGU
ERR188331_quant.sf	ERR188331	ERS185323	4	CEU	ICMB	4-CEU-ICMB
ERR188410_quant.sf	ERR188410	ERS185353	4	CEU	ICMB	4-CEU-ICMB
ERR188177_quant.sf	ERR188177	ERS185238	7	CEU	LUMC	7-CEU-LUMC
ERR188319_quant.sf	ERR188319	ERS185110	1	CEU	UNIGE	1-CEU-UNIGE
ERR188438_quant.sf	ERR188438	ERS185102	3	CEU	MPIMG	3-CEU-MPIMG
ERR188431_quant.sf	ERR188431	ERS185443	1	CEU	UNIGE	1-CEU-UNIGE
ERR188032_quant.sf	ERR188032	ERS185264	7	CEU	LUMC	7-CEU-LUMC
ERR188148_quant.sf	ERR188148	ERS185430	3	CEU	MPIMG	3-CEU-MPIMG
ERR188262_quant.sf	ERR188262	ERS185142	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188467_quant.sf	ERR188467	ERS185390	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188142_quant.sf	ERR188142	ERS185075	3	CEU	MPIMG	3-CEU-MPIMG
ERR188277_quant.sf	ERR188277	ERS185126	5	CEU	HMGU	5-CEU-HMGU
ERR188388_quant.sf	ERR188388	ERS185052	1	CEU	UNIGE	1-CEU-UNIGE
ERR188107_quant.sf	ERR188107	ERS185304	1	CEU	UNIGE	1-CEU-UNIGE
ERR188446_quant.sf	ERR188446	ERS185468	1	CEU	UNIGE	1-CEU-UNIGE
ERR188441_quant.sf	ERR188441	ERS185040	3	CEU	MPIMG	3-CEU-MPIMG
ERR188396_quant.sf	ERR188396	ERS185026	1	CEU	UNIGE	1-CEU-UNIGE
ERR188350_quant.sf	ERR188350	ERS185416	1	CEU	UNIGE	1-CEU-UNIGE
ERR188220_quant.sf	ERR188220	ERS185260	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188181_quant.sf	ERR188181	ERS185321	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188048_quant.sf	ERR188048	ERS185147	1	CEU	UNIGE	1-CEU-UNIGE
ERR188092_quant.sf	ERR188092	ERS185183	3	CEU	MPIMG	3-CEU-MPIMG
ERR188140_quant.sf	ERR188140	ERS185171	7	CEU	LUMC	7-CEU-LUMC
ERR188196_quant.sf	ERR188196	ERS185254	1	CEU	UNIGE	1-CEU-UNIGE
ERR188244_quant.sf	ERR188244	ERS185311	1	CEU	UNIGE	1-CEU-UNIGE
ERR188024_quant.sf	ERR188024	ERS185432	1	CEU	UNIGE	1-CEU-UNIGE
ERR188404_quant.sf	ERR188404	ERS185058	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188152_quant.sf	ERR188152	ERS185314	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188308_quant.sf	ERR188308	ERS185230	3	CEU	MPIMG	3-CEU-MPIMG
ERR188061_quant.sf	ERR188061	ERS185347	6	CEU	UU	6-CEU-UU
ERR188100_quant.sf	ERR188100	ERS185288	4	CEU	ICMB	4-CEU-ICMB
ERR188420_quant.sf	ERR188420	ERS185143	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188354_quant.sf	ERR188354	ERS185293	7	CEU	LUMC	7-CEU-LUMC
ERR188279_quant.sf	ERR188279	ERS185439	6	CEU	UU	6-CEU-UU
ERR188256_quant.sf	ERR188256	ERS185496	4	CEU	ICMB	4-CEU-ICMB
ERR188477_quant.sf	ERR188477	ERS185039	1	CEU	UNIGE	1-CEU-UNIGE
ERR188022_quant.sf	ERR188022	ERS185103	1	CEU	UNIGE	1-CEU-UNIGE
ERR188291_quant.sf	ERR188291	ERS185131	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188081_quant.sf	ERR188081	ERS185330	7	CEU	LUMC	7-CEU-LUMC
ERR188339_quant.sf	ERR188339	ERS185248	1	CEU	UNIGE	1-CEU-UNIGE
ERR188134_quant.sf	ERR188134	ERS185298	3	CEU	MPIMG	3-CEU-MPIMG
ERR188228_quant.sf	ERR188228	ERS185214	7	CEU	LUMC	7-CEU-LUMC
ERR188051_quant.sf	ERR188051	ERS185401	1	CEU	UNIGE	1-CEU-UNIGE
ERR188349_quant.sf	ERR188349	ERS185389	6	CEU	UU	6-CEU-UU
ERR188099_quant.sf	ERR188099	ERS185207	6	CEU	UU	6-CEU-UU
ERR188157_quant.sf	ERR188157	ERS185354	2	CEU	CNAG_CRG	2-CEU-CNAG_CRG
ERR188216_quant.sf	ERR188216	ERS185117	7	CEU	LUMC	7-CEU-LUMC
ERR188227_quant.sf	ERR188227	ERS185461	3	CEU	MPIMG	3-CEU-MPIMG
ERR188429_quant.sf	ERR188429	ERS185149	3	CEU	MPIMG	3-CEU-MPIMG
ERR188413_quant.sf	ERR188413	ERS185244	1	CEU	UNIGE	1-CEU-UNIGE
ERR188214_quant.sf	ERR188214	ERS185193	7	YRI	LUMC	7-YRI-LUMC
ERR188143_quant.sf	ERR188143	ERS185377	6	YRI	UU	6-YRI-UU
ERR188311_quant.sf	ERR188311	ERS185055	4	YRI	ICMB	4-YRI-ICMB
ERR188151_quant.sf	ERR188151	ERS185268	2	YRI	CNAG_CRG	2-YRI-CNAG_CRG
ERR188044_quant.sf	ERR188044	ERS185292	2	YRI	CNAG_CRG	2-YRI-CNAG_CRG
ERR188449_quant.sf	ERR188449	ERS185044	1	YRI	UNIGE	1-YRI-UNIGE
ERR188158_quant.sf	ERR188158	ERS185294	7	YRI	LUMC	7-YRI-LUMC
ERR188273_quant.sf	ERR188273	ERS185369	3	YRI	MPIMG	3-YRI-MPIMG
ERR188162_quant.sf	ERR188162	ERS185437	1	YRI	UNIGE	1-YRI-UNIGE
